"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2023","5.43","5.67","5.86","5.25","342.01K","-3.72%"
"03/08/2023","5.64","6.00","6.01","5.56","246.33K","-6.00%"
"03/07/2023","6.00","6.18","6.23","5.78","245.07K","-2.91%"
"03/06/2023","6.18","5.92","6.20","5.82","204.95K","4.22%"
"03/05/2023","5.93","6.02","6.28","5.89","190.00K","-1.33%"
"03/04/2023","6.01","6.42","6.47","5.85","267.51K","-6.24%"
"03/03/2023","6.41","6.99","7.00","6.06","423.03K","-8.30%"
"03/02/2023","6.99","7.23","7.29","6.78","222.52K","-3.19%"
"03/01/2023","7.22","7.06","7.36","6.87","324.31K","2.56%"
"02/28/2023","7.04","7.62","7.65","7.02","278.86K","-7.61%"
"02/27/2023","7.62","7.78","7.92","7.38","137.91K","-2.06%"
"02/26/2023","7.78","7.54","7.86","7.47","96.99K","3.32%"
"02/25/2023","7.53","7.66","7.72","7.13","239.59K","-1.57%"
"02/24/2023","7.65","8.28","8.45","7.49","203.67K","-7.61%"
"02/23/2023","8.28","8.41","8.66","8.12","180.70K","-1.43%"
"02/22/2023","8.40","8.65","8.77","8.12","236.86K","-2.78%"
"02/21/2023","8.64","9.07","9.26","8.43","320.01K","-4.64%"
"02/20/2023","9.06","8.92","9.28","8.79","212.13K","1.57%"
"02/19/2023","8.92","9.06","9.30","8.71","258.49K","-1.55%"
"02/18/2023","9.06","9.08","9.39","8.88","253.68K","-0.11%"
"02/17/2023","9.07","9.11","9.64","8.93","257.03K","-0.66%"
"02/16/2023","9.13","9.53","9.88","9.07","316.74K","-4.20%"
"02/15/2023","9.53","9.14","9.56","8.79","297.78K","4.38%"
"02/14/2023","9.13","8.71","9.39","8.71","187.59K","5.06%"
"02/13/2023","8.69","9.03","9.39","8.48","323.03K","-3.98%"
"02/12/2023","9.05","9.51","9.52","8.93","115.97K","-4.84%"
"02/11/2023","9.51","9.00","9.64","8.78","248.89K","5.67%"
"02/10/2023","9.00","8.81","9.32","8.41","333.55K","2.04%"
"02/09/2023","8.82","10.23","10.74","8.48","769.46K","-13.61%"
"02/08/2023","10.21","10.39","10.56","9.83","353.65K","-1.35%"
"02/07/2023","10.35","8.92","11.41","8.82","869.20K","16.42%"
"02/06/2023","8.89","8.54","9.20","8.50","337.16K","4.71%"
"02/05/2023","8.49","8.57","8.80","8.18","392.42K","-0.70%"
"02/04/2023","8.55","8.41","8.68","8.33","242.16K","1.79%"
"02/03/2023","8.40","7.63","8.69","7.43","715.47K","10.82%"
"02/02/2023","7.58","7.55","7.83","7.46","263.44K","0.66%"
"02/01/2023","7.53","7.37","7.60","6.88","320.06K","2.17%"
"01/31/2023","7.37","7.13","7.94","6.96","470.18K","3.22%"
"01/30/2023","7.14","7.47","7.56","6.88","251.30K","-4.29%"
"01/29/2023","7.46","7.35","7.51","7.27","147.86K","1.50%"
"01/28/2023","7.35","7.59","7.75","7.28","161.16K","-3.03%"
"01/27/2023","7.58","7.56","7.68","7.30","497.70K","0.53%"
"01/26/2023","7.54","7.52","7.81","7.27","662.69K","0.67%"
"01/25/2023","7.49","6.63","9.25","6.28","2.40M","12.13%"
"01/24/2023","6.68","6.69","6.92","6.41","323.35K","-0.15%"
"01/23/2023","6.69","6.57","6.84","6.53","279.37K","1.67%"
"01/22/2023","6.58","6.31","6.90","6.28","388.29K","4.28%"
"01/21/2023","6.31","6.38","6.69","6.21","583.79K","-1.41%"
"01/20/2023","6.40","5.47","6.45","5.44","428.39K","17.00%"
"01/19/2023","5.47","5.41","5.53","5.31","167.97K","1.30%"
"01/18/2023","5.40","6.08","6.26","5.36","324.32K","-10.45%"
"01/17/2023","6.03","6.13","6.35","6.01","222.82K","-1.63%"
"01/16/2023","6.13","6.08","6.31","5.86","363.00K","1.32%"
"01/15/2023","6.05","6.03","6.15","5.75","319.68K","0.67%"
"01/14/2023","6.01","5.57","6.19","5.56","796.52K","8.09%"
"01/13/2023","5.56","5.27","5.56","5.16","243.52K","5.90%"
"01/12/2023","5.25","5.03","5.31","4.93","272.31K","4.37%"
"01/11/2023","5.03","4.97","5.06","4.78","148.77K","1.21%"
"01/10/2023","4.97","4.89","5.27","4.76","426.27K","1.64%"
"01/09/2023","4.89","4.74","5.00","4.71","328.04K","3.60%"
"01/08/2023","4.72","4.54","4.72","4.44","110.80K","4.19%"
"01/07/2023","4.53","4.45","4.58","4.42","140.38K","1.80%"
"01/06/2023","4.45","4.49","4.53","4.27","198.33K","-0.89%"
"01/05/2023","4.49","4.72","4.77","4.46","118.58K","-4.87%"
"01/04/2023","4.72","4.70","4.85","4.62","133.38K","0.21%"
"01/03/2023","4.71","4.67","4.79","4.63","113.38K","0.64%"
"01/02/2023","4.68","4.59","4.71","4.51","202.64K","1.96%"
"01/01/2023","4.59","4.56","4.61","4.47","95.71K","1.10%"
"12/31/2022","4.54","4.43","4.71","4.40","129.45K","2.48%"
"12/30/2022","4.43","4.59","4.80","4.32","337.66K","-3.28%"
"12/29/2022","4.58","4.69","4.76","4.33","188.08K","-2.35%"
"12/28/2022","4.69","5.09","5.10","4.61","207.90K","-7.86%"
"12/27/2022","5.09","5.43","5.46","5.05","188.40K","-6.26%"
"12/26/2022","5.43","5.64","5.65","5.38","167.25K","-3.55%"
"12/25/2022","5.63","5.61","5.68","5.53","110.67K","0.18%"
"12/24/2022","5.62","5.63","5.64","5.51","96.31K","-0.18%"
"12/23/2022","5.63","5.68","5.70","5.55","83.32K","-0.88%"
"12/22/2022","5.68","5.68","5.70","5.47","140.10K","0.18%"
"12/21/2022","5.67","5.71","5.77","5.54","106.04K","-0.87%"
"12/20/2022","5.72","5.40","5.78","5.38","198.30K","5.93%"
"12/19/2022","5.40","5.69","5.78","5.33","89.99K","-5.26%"
"12/18/2022","5.70","5.78","5.82","5.66","49.06K","-1.38%"
"12/17/2022","5.78","5.60","5.80","5.58","74.19K","3.21%"
"12/16/2022","5.60","6.48","6.61","5.46","164.91K","-13.58%"
"12/15/2022","6.48","6.74","6.76","6.46","51.51K","-3.86%"
"12/14/2022","6.74","6.70","6.96","6.68","147.99K","0.60%"
"12/13/2022","6.70","6.82","6.84","6.56","213.46K","-1.76%"
"12/12/2022","6.82","7.04","7.05","6.74","75.65K","-3.12%"
